class,DPVR10_S188,DPVR14_S192,DPVR15_S193,DPVR16_S194,DPVR18_S196,DPVR6_S184,DPVR7_S185,DPVR8_S186,DPVR9_S187,Max,DPVR10_S188,DPVR14_S192,DPVR15_S193,DPVR16_S194,DPVR18_S196,DPVR6_S184,DPVR7_S185,DPVR8_S186,DPVR9_S187
Dothideomycetes,4559,10283,6168,9274,156,5828,1652,1721,5940,570,283,447,308,570,,441,85,98,330
Arthoniomycetes,33,404,62,980,3,137,12,68,223,5,1,1,1,4,,,,,5
Eurotiomycetes,2755,6166,2640,5837,110,3399,771,900,3309,158,59,158,53,142,,75,19,16,73
Sordariomycetes,2134,4377,2288,4839,128,2792,708,797,2897,535,77,240,97,535,2,116,26,34,209
Leotiomycetes,508,1249,483,1640,29,671,156,179,721,123,12,69,22,123,,17,2,4,52
Lecanoromycetes,156,458,153,911,1,171,29,77,260,2,,1,,2,,,,,1
Xylonomycetes,71,102,176,55,4,37,43,31,43,,,,,,,,,,
Orbiliomycetes,47,112,72,109,1,63,22,21,60,,,,,,,,,,
Pezizomycetes,16,58,13,56,1,21,8,5,45,,,,,,,,,,
Saccharomycetes,445,1186,399,670,320,879,157,240,518,,,,,,,,,,
Schizosaccharomycetes,14,55,19,54,11,45,7,9,21,,,,,,,,,,
Pneumocystidomycetes,4,12,2,7,3,4,1,2,4,,,,,,,,,,
Taphrinomycetes,2,5,3,3,,,,2,4,,,,,,,,,,
Microbotryomycetes,56,229,60,40,3,133,17,33,47,1,,1,,,,1,,,
Pucciniomycetes,36,53,34,47,24,45,10,16,36,,,,,,,,,,
Agaricostilbomycetes,24,73,32,11,,25,8,18,12,2,,2,1,,,2,,,
Mixiomycetes,12,43,13,15,,29,2,4,15,,,,,,,,,,
Cystobasidiomycetes,3,9,4,3,,5,,2,1,2,2,,2,1,,,,1,
Agaricomycetes,426,945,349,477,31,499,132,145,299,29,13,29,6,5,1,12,2,5,3
Tremellomycetes,131,759,171,237,12,351,35,85,157,6,,3,,2,,6,,1,1
Wallemiomycetes,5,31,6,22,,9,1,5,6,,,,,,,,,,
Ustilaginomycetes,182,493,176,291,39,375,75,72,181,,,,,,,,,,
Malasseziomycetes,44,52,16,37,3,25,6,9,21,,,,,,,,,,
Exobasidiomycetes,13,36,11,32,,19,4,9,8,,,,,,,,,,
Glomeromycetes,25,26,24,18,8,10,10,23,17,5,4,5,1,1,,,3,2,3
Chytridiomycetes,11,29,12,22,1,16,7,5,10,,,,,,,,,,
Neocallimastigomycetes,1,2,3,3,1,4,,1,,,,,,,,,,,
Entomophthoromycetes,1,1,,2,1,1,,,,,,,,,,,,,
Blastocladiomycetes,1,4,3,1,,8,,,,,,,,,,,,,
Laboulbeniomycetes,,1,,,,,,1,,,,,,,,,,,
Lichinomycetes,,3,,1,,,1,,,,,,,,,,,,
Geoglossomycetes,,3,,,,,,,,,,,,,,,,,
Neolectomycetes,,2,,,,,,,,,,,,,,,,,
Dacrymycetes,,1,,,,,,,,,,,,,,,,,
Spiculogloeomycetes,,11,3,,,4,1,4,,,,,,,,,,,
Atractiellomycetes,,3,,,,5,,,1,,,,,,,,,,
Monoblepharidomycetes,,2,,,,,1,,,,,,,,,,,,
Tritirachiomycetes,,,,,,1,,,,,,,,,,,,,
Basidiobolomycetes,,,,,,1,1,,1,,,,,,,,,,